"ActionType","Description"
"ExploitGuardChildProcessBlocked","Exploit protection blocked the creation of a child process."
"ExploitGuardEafViolationAudited","Export address filtering (EAF) in exploit protection detected possible exploitation activity."
"ExploitGuardEafViolationBlocked","Export address filtering (EAF) in exploit protection blocked possible exploitation activity."
"ExploitGuardIafViolationAudited","Import address filtering (IAF) in exploit protection detected possible exploitation activity."
"ExploitGuardIafViolationBlocked","Import address filtering (IAF) in exploit protection blocked possible exploitation activity."
"ExploitGuardLowIntegrityImageAudited","Exploit protection detected the launch of a process from a low-integrity file."
"ExploitGuardLowIntegrityImageBlocked","Exploit protection blocked the launch of a process from a low-integrity file."
"ExploitGuardNetworkProtectionAudited","Network protection detected an attempt to access a malicious or unwanted IP address domain or URL."
"ExploitGuardNetworkProtectionBlocked","Network protection blocked a malicious or unwanted IP address domain or URL."
"ExploitGuardNonMicrosoftSignedAudited","Exploit protection detected the launch of a process from an image file that is not signed by Microsoft."
"ExploitGuardNonMicrosoftSignedBlocked","Exploit protection blocked the launch of a process from an image file that is not signed by Microsoft."
"ExploitGuardRopExploitAudited","Exploit protection detected possible return-object programming (ROP) exploitation."
"ExploitGuardRopExploitBlocked","Exploit protection blocked possible return-object programming (ROP) exploitation."
"ExploitGuardSharedBinaryAudited","Exploit protection detected the launch of a process from a remote shared file."
"ExploitGuardSharedBinaryBlocked","Exploit protection blocked the launch of a process from a file in a remote device."
"ExploitGuardWin32SystemCallAudited","Exploit protection detected a call to the Windows system API."
"ExploitGuardWin32SystemCallBlocked","Exploit protection blocked a call to the Windows system API."
"FileTimestampModificationEvent","File timestamp information was modified."
"FirewallInboundConnectionBlocked","A firewall or another application blocked an inbound connection using the Windows Filtering Platform."
"FirewallInboundConnectionToAppBlocked","The firewall blocked an inbound connection to an app."
"FirewallOutboundConnectionBlocked","A firewall or another application blocked an outbound connection using the Windows Filtering Platform."
"FirewallServiceStopped","The firewall service was stopped."
"GetAsyncKeyStateApiCall","The GetAsyncKeyState function was called. This function can be used to obtain the states of input keys and buttons."
"GetClipboardData","The GetClipboardData function was called. This function can be used obtain the contents of the system clipboard."
"LdapSearch","An LDAP search was performed."
"LogonRightsSettingEnabled","Interactive logon rights on the machine were granted to a user."
"MemoryRemoteProtect","A process has modified the protection mask for a memory region used by another process. This might allow execution of content from non-executable memory."
"NamedPipeEvent","A named pipe was created or opened."
"NetworkProtectionUserBypassEvent","A user has bypassed network protection and accessed a blocked IP address, domain, or URL."
"NetworkShareObjectAccessChecked","A request was made to access a file or folder shared on the network and permissions to the share was evaluated."
"NetworkShareObjectAdded","A file or folder was shared on the network."
"NetworkShareObjectDeleted","A file or folder shared on the network was deleted."
"NetworkShareObjectModified","A file or folder shared on the network was modified."
"NtAllocateVirtualMemoryApiCall","Memory was allocated for a process."
"NtAllocateVirtualMemoryRemoteApiCall","Memory was allocated for a process remotely."
"NtMapViewOfSectionRemoteApiCall","A section of a process's memory was mapped by calling the function NtMapViewOfSection."
"NtProtectVirtualMemoryApiCall","The protection attributes for allocated memory was modified."
"OpenProcessApiCall","The OpenProcess function was called indicating an attempt to open a handle to a local process and potentially manipulate that process."
"PasswordChangeAttempt","An attempt to change a user password was made."
"PlistPropertyModified","A property in the plist was modified."
"PnpDeviceAllowed","Device control allowed a trusted plug and play (PnP) device."
"PnpDeviceBlocked","Device control blocked an untrusted plug and play (PnP) device."
"PnpDeviceConnected","A plug and play (PnP) device was attached."
"PowerShellCommand","A PowerShell alias function filter cmdlet external script application script workflow or configuration was executed from a PowerShell host process."
"PrintJobBlocked","Device control prevented an untrusted printer from printing."
"ProcessCreatedUsingWmiQuery","A process was created using Windows Management Instrumentation (WMI)."
"ProcessPrimaryTokenModified","A process's primary token was modified."
"PTraceDetected","A process trace (ptrace) was found to have occurred on this device."
"QueueUserApcRemoteApiCall","An asynchronous procedure call (APC) was scheduled to execute in a user-mode thread."
"ReadProcessMemoryApiCall","The ReadProcessMemory function was called indicating that a process read data from the process memory of another process."
"RemoteDesktopConnection","A Remote Desktop connection was established"
"RemoteWmiOperation","A Windows Management Instrumentation (WMI) operation was initiated from a remote device."
"RemovableStorageFileEvent","Removable storage file activity matched a device control removable storage access control policy."
"RemovableStoragePolicyTriggered","Device control detected an attempted read/write/execute event from a removable storage device."
"SafeDocFileScan","A document was sent to the cloud for analysis while in protected view."
"ScheduledTaskCreated","A scheduled task was created."
"ScheduledTaskDeleted","A scheduled task was deleted."
"ScheduledTaskDisabled","A scheduled task was turned off."
"ScheduledTaskEnabled","A scheduled task was turned on."
"ScheduledTaskUpdated","A scheduled task was updated."
"ScreenshotTaken","A screenshot was taken."
"SecurityGroupCreated","A security group was created"
"SecurityGroupDeleted","A security group was deleted."
"SecurityLogCleared","The security log was cleared."
"SensitiveFileRead","A file that matched DLP policy was accessed or processes that are reading sensitive files such as ssh keys, Outlook mail archives etc."
"ServiceInstalled","A service was installed. This is based on Windows event ID 4697, which requires the advanced security audit setting Audit Security System Extension."
"SetThreadContextRemoteApiCall","The context of a thread was set from a user-mode process."
"ShellLinkCreateFileEvent","A specially crafted link file (.lnk) was generated. The link file contains unusual attributes that might launch malicious code along with a legitimate file or application."
"SmartScreenAppWarning","SmartScreen warned about running a downloaded application that is untrusted or malicious."
"SmartScreenExploitWarning","SmartScreen warned about opening a web page that contains an exploit."
"SmartScreenUrlWarning","SmartScreen warned about opening a low-reputation URL that might be hosting malware or is a phishing site."
"SmartScreenUserOverride","A user has overridden a SmartScreen warning and continued to open an untrusted app or a low-reputation URL."
"TamperingAttempt","An attempt to change Microsoft Defender 365 settings was made."
"UntrustedWifiConnection","A connection was established to an open Wi-Fi access point that is set to connect automatically."
"UsbDriveDriveLetterChanged","The drive letter assigned to a mounted USB storage device was modified"
"UsbDriveMount","A USB storage device was mounted as a drive."
"UsbDriveMounted","A USB storage device was mounted as a drive."
"UsbDriveUnmount","A USB storage device was unmounted."
"UsbDriveUnmounted","A USB storage device was unmounted."
"UserAccountAddedToLocalGroup","A user was added to a security-enabled local group."
"UserAccountCreated","A local SAM account or a domain account was created."
"UserAccountDeleted","A user account was deleted."
"UserAccountModified","A user account was modified."
"UserAccountRemovedFromLocalGroup","A user was removed from a security-enabled local group."
"WmiBindEventFilterToConsumer","A filter for WMI events was bound to a consumer. This enables listening for all kinds of system events and triggering corresponding actions, including potentially malicious ones."
"WriteProcessMemoryApiCall","The WriteProcessMemory function was called indicating that a process has written data into memory for another process."
"WriteToLsassProcessMemory","The WriteProcessMemory function was called indicating that a process has written data into memory for another process."
